,x,y,z,,newx,newy,newz,,,,,,,
0,-15.88401596,6.641158209,2.91,,,,,,,,,,,
1,0.273237255,6.939266364,1.81,,,,surface,0.3,opt,2.26,final z,1.96,real z,5.292
2,-15.47160491,12.67947065,1.79,,,same spot as above,surface,0.3,opt,2.34,finalz,2.04,real z,5.508
3,8.201103496,21.71295706,0.52,,,,,,,,,,,
4,7.556290637,18.05087891,2.15,,,,,,,,,,,
5,14.77087496,4.957423563,1.52,,,,,,,,,,,
6,-14.02659512,1.193407498,1.42,,,,,,,,,,,
7,-13.03793746,-3.209665978,0.05,,,,,,,,,,,
8,-9.961866697,-11.93621104,1.36,,,,,,,,,,,
9,1.783384347,-12.68692929,2.05,,,,,,,,,,,
10,24.01174384,-1.178800231,2.79,,,,,,,,,,,
11,-14.74389115,-23.08323944,1.38,,,,,,,,,,,
