,x,y,z,Checked,z rror,x error,y error
0,-8.113994445,15.7807186,2.91,,,,
1,7.055403543,10.20980623,1.81,Yes,0.27,0.35,0.2
2,-5.543729366,21.26022929,1.79,Yes but died,,,
3,19.79357414,21.11173311,0.52,,,,
4,17.8668473,17.93143066,2.15,Yes,0.35,0.5,0.5
5,19.85241446,3.11433503,1.52,Yes,0.4,0.6,0.3
6,-8.354586399,10.03005642,1.42,,,,
7,-9.026857686,5.567708235,0.05,,,,
8,-9.318345982,-3.680525897,1.36,,,,
9,1.35860003,-8.632023031,2.05,Yes,0.55,0.45,0.04
10,26.24531073,-5.950860902,2.79,,,,
11,-17.81119826,-12.34051783,1.38,,,,
