,x,y,z,checked,x err,y err,z err
0,2.230854163,33.91072346,0.92,,,,
1,27.05072098,17.66796474,0.53,,,,
2,43.94538924,20.66899534,3.19,,,,
3,18.1743925,19.00351429,1.68,Yes,0.11,0.5,0.12
4,14.30250245,16.21637104,1.98,Yes,0.03,0.4,0.24
5,38.20797367,5.666193513,2.78,,,,
6,28.27800581,5.415917072,1.86,,,,
7,-2.090269034,9.172136307,1.82,Yes,0.15,0.08,0.18
8,0.358596434,6.156848937,1.69,Yes,0.15,0.11,0.4
9,9.822636971,3.097758107,3.88,,,,
10,-7.614226796,4.292823788,2.35,Yes,0.2,0.01,0.3
11,6.304709679,-9.040000647,1.98,Yes,0.07,0.1,0.28
12,2.115821464,-12.70145057,3.19,,,,
,,,,,0.118333333,0.2,0.253333333
