,x,y,z,check,x  err,y err,z err
0,-7.268346514,14.38215361,3.12,,,,
1,-0.558505341,0.447716722,2.89,,,,
2,10.25520953,-4.019919195,1.56,Yes,0.35,0.4,0.17
3,-8.788939222,-14.34734861,1.82,Yes,0.3,0.12,0.12
4,19.19300231,-5.226923836,2.4,Yes,0.6,0.5,0.26
5,6.455387554,-19.65467384,3.5,,,,
6,11.34499371,-21.83280415,1.68,Yes,0.45,0.8,0.26
7,17.79488326,-28.3699155,2.6,,,,
8,-24.11855161,-18.02521265,3.44,,,,
9,-9.873325636,-23.64923584,0.9,,,,
10,4.54013527,-28.57885497,2.55,,,,
11,16.17693236,-31.22848767,1.49,,,,
