z,x,y
1,1633,2248
5,1635,2252
10,1636,2255
15,1638,2258
19,1640,2262
24,1642,2265
28,1644,2269
33,1645,2272
37,1647,2275
42,1649,2278
46,1651,2282
51,1653,2285
56,1655,2288
60,1657,2291
65,1659,2295
69,1661,2298
74,1663,2301
78,1665,2304
83,1667,2307
88,1669,2310
92,1672,2313
97,1674,2317
101,1676,2320
106,1678,2323
110,1681,2326
115,1683,2329
120,1685,2332
124,1688,2335
129,1690,2338
133,1692,2341
138,1695,2343
142,1697,2346
147,1700,2349
152,1702,2352
156,1705,2355
161,1707,2358
165,1710,2361
170,1713,2363
174,1715,2366
179,1718,2369
184,1720,2371
188,1723,2374
193,1726,2377
197,1729,2379
202,1731,2382
206,1734,2385
211,1737,2387
216,1740,2390
220,1743,2392
225,1745,2395
229,1748,2397
234,1751,2400
238,1754,2402
243,1757,2405
248,1760,2407
252,1763,2409
257,1766,2412
261,1769,2414
266,1772,2416
270,1775,2418
275,1778,2421
280,1781,2423
284,1784,2425
289,1787,2427
293,1791,2429
298,1794,2431
302,1797,2433
307,1800,2436
311,1803,2438
316,1807,2440
321,1810,2442
325,1813,2443
330,1816,2445
334,1820,2447
339,1823,2449
343,1826,2451
348,1830,2453
353,1833,2455
357,1836,2456
362,1840,2458
366,1843,2460
371,1846,2461
375,1850,2463
380,1853,2465
385,1857,2466
389,1860,2468
394,1864,2469
398,1867,2471
403,1871,2472
407,1874,2474
412,1878,2475
417,1881,2476
421,1885,2478
426,1888,2479
430,1892,2480
435,1895,2482
439,1899,2483
444,1903,2484
449,1906,2485
453,1910,2486
458,1913,2488
462,1917,2489
467,1921,2490
471,1924,2491
476,1928,2492
481,1932,2493
485,1935,2494
490,1939,2495
494,1943,2495
499,1946,2496
503,1950,2497
508,1954,2498
513,1958,2499
517,1961,2499
522,1965,2500
526,1969,2501
531,1973,2501
536,1976,2502
540,1980,2502
545,1984,2503
549,1988,2504
554,1991,2504
558,1995,2504
563,1999,2505
568,2003,2505
572,2006,2506
577,2010,2506
581,2014,2506
586,2018,2506
590,2022,2507
595,2025,2507
600,2029,2507
604,2033,2507
609,2037,2507
613,2040,2507
618,2044,2507
622,2048,2507
627,2052,2507
632,2056,2507
636,2059,2507
641,2063,2507
645,2067,2507
650,2071,2507
654,2075,2507
659,2078,2506
664,2082,2506
668,2086,2506
673,2090,2505
677,2093,2505
682,2097,2505
686,2101,2504
691,2105,2504
696,2109,2503
700,2112,2503
705,2116,2502
709,2120,2502
714,2124,2501
718,2127,2500
723,2131,2500
728,2135,2499
732,2138,2498
737,2142,2497
741,2146,2497
746,2150,2496
750,2153,2495
755,2157,2494
760,2161,2493
764,2164,2492
769,2168,2491
773,2172,2490
778,2175,2489
783,2179,2488
787,2183,2487
792,2186,2486
796,2190,2485
801,2193,2483
805,2197,2482
810,2201,2481
815,2204,2480
819,2208,2478
824,2211,2477
828,2215,2476
833,2218,2474
837,2222,2473
842,2225,2471
847,2229,2470
851,2232,2468
856,2236,2467
860,2239,2465
865,2243,2464
869,2246,2462
874,2249,2460
879,2253,2459
883,2256,2457
888,2260,2455
892,2263,2453
897,2266,2452
901,2270,2450
906,2273,2448
911,2276,2446
915,2280,2444
920,2283,2442
924,2286,2440
929,2289,2438
934,2292,2436
938,2296,2434
943,2299,2432
947,2302,2430
952,2305,2428
956,2308,2426
961,2311,2424
966,2314,2421
970,2318,2419
975,2321,2417
979,2324,2415
984,2327,2412
988,2330,2410
993,2333,2408
998,2336,2405
1002,2339,2403
1007,2341,2401
1011,2344,2398
1016,2347,2396
1021,2350,2393
1025,2353,2391
1030,2356,2388
1034,2359,2386
1039,2361,2383
1043,2364,2380
1048,2367,2378
1053,2370,2375
1057,2372,2372
1062,2375,2370
1066,2378,2367
1071,2380,2364
1075,2383,2362
1080,2385,2359
1085,2388,2356
1089,2390,2353
1094,2393,2350
1098,2395,2347
1103,2398,2344
1108,2400,2342
1112,2403,2339
1117,2405,2336
1121,2407,2333
1126,2410,2330
1130,2412,2327
1135,2414,2324
1140,2417,2321
1144,2419,2318
1149,2421,2315
1153,2423,2311
1158,2426,2308
1162,2428,2305
1167,2430,2302
1172,2432,2299
1176,2434,2296
1181,2436,2293
1185,2438,2289
1190,2440,2286
1195,2442,2283
1199,2444,2280
1204,2446,2276
1208,2448,2273
1213,2449,2270
1217,2451,2266
1222,2453,2263
1227,2455,2260
1231,2457,2256
1236,2458,2253
1240,2460,2249
1245,2462,2246
1249,2463,2243
1254,2465,2239
1259,2466,2236
1263,2468,2232
1268,2469,2229
1272,2471,2225
1277,2472,2222
1282,2474,2218
1286,2475,2215
1291,2476,2211
1295,2478,2208
1300,2479,2204
1304,2480,2200
1309,2482,2197
1314,2483,2193
1318,2484,2190
1323,2485,2186
1327,2486,2182
1332,2487,2179
1337,2488,2175
1341,2489,2172
1346,2490,2168
1350,2491,2164
1355,2492,2161
1359,2493,2157
1364,2494,2153
1369,2495,2149
1373,2496,2146
1378,2497,2142
1382,2497,2138
1387,2498,2135
1391,2499,2131
1396,2500,2127
1401,2500,2123
1405,2501,2120
1410,2501,2116
1414,2502,2112
1419,2502,2108
1424,2503,2105
1428,2503,2101
1433,2504,2097
1437,2504,2093
1442,2505,2090
1446,2505,2086
1451,2505,2082
1456,2505,2078
1460,2506,2074
1465,2506,2071
1469,2506,2067
1474,2506,2063
1479,2506,2059
1483,2506,2056
1488,2506,2052
1492,2506,2048
1497,2506,2044
1501,2506,2040
1506,2506,2037
1511,2506,2033
1515,2506,2029
1520,2506,2025
1524,2506,2021
1529,2505,2018
1534,2505,2014
1538,2505,2010
1543,2504,2006
1547,2504,2002
1552,2504,1999
1556,2503,1995
1561,2503,1991
1566,2502,1987
1570,2502,1984
1575,2501,1980
1579,2501,1976
1584,2500,1972
1589,2499,1969
1593,2499,1965
1598,2498,1961
1602,2497,1958
1607,2497,1954
1611,2496,1950
1616,2495,1946
1621,2494,1943
1625,2493,1939
1630,2492,1935
1634,2491,1932
1639,2490,1928
1644,2489,1924
1648,2488,1921
1653,2487,1917
1657,2486,1913
1662,2485,1910
1667,2484,1906
1671,2483,1903
1676,2481,1899
1680,2480,1895
1685,2479,1892
1689,2478,1888
1694,2476,1885
1699,2475,1881
1703,2474,1878
1708,2472,1874
1712,2471,1871
1717,2469,1867
1722,2468,1864
1726,2466,1860
1731,2465,1857
1735,2463,1853
1740,2461,1850
1744,2460,1846
1749,2458,1843
1754,2456,1840
1758,2455,1836
1763,2453,1833
1767,2451,1830
1772,2449,1826
1777,2447,1823
1781,2445,1820
1786,2444,1816
1790,2442,1813
1795,2440,1810
1800,2438,1807
1804,2436,1803
1809,2434,1800
1813,2432,1797
1818,2430,1794
1822,2427,1791
1827,2425,1788
1832,2423,1784
1836,2421,1781
1841,2419,1778
