z,x,y
1,2383,1622
3,2380,1619
6,2377,1617
8,2374,1615
10,2371,1613
12,2368,1610
14,2364,1608
16,2361,1606
18,2358,1604
20,2355,1602
22,2352,1599
24,2349,1597
26,2346,1595
29,2343,1593
31,2339,1591
33,2336,1589
35,2333,1587
37,2330,1585
39,2326,1583
41,2323,1581
43,2320,1579
45,2317,1577
47,2313,1576
50,2310,1574
52,2307,1572
54,2303,1570
56,2300,1568
58,2297,1567
60,2293,1565
62,2290,1563
64,2286,1561
66,2283,1560
68,2280,1558
70,2276,1556
73,2273,1555
75,2269,1553
77,2266,1552
79,2262,1550
81,2259,1549
83,2255,1547
85,2252,1546
87,2248,1544
89,2245,1543
91,2241,1542
93,2238,1540
96,2234,1539
98,2231,1538
100,2227,1537
102,2223,1535
104,2220,1534
106,2216,1533
108,2213,1532
110,2209,1531
112,2205,1529
114,2202,1528
117,2198,1527
119,2194,1526
121,2191,1525
123,2187,1524
125,2183,1523
127,2180,1522
129,2176,1521
131,2172,1521
133,2169,1520
135,2165,1519
137,2161,1518
140,2158,1517
142,2154,1517
144,2150,1516
146,2146,1515
148,2143,1514
150,2139,1514
152,2135,1513
154,2132,1513
156,2128,1512
158,2124,1511
161,2120,1511
163,2116,1510
165,2113,1510
167,2109,1510
169,2105,1509
171,2101,1509
173,2098,1508
175,2094,1508
177,2090,1508
179,2086,1507
181,2083,1507
184,2079,1507
186,2075,1507
188,2071,1507
190,2067,1506
192,2064,1506
194,2060,1506
196,2056,1506
198,2052,1506
200,2048,1506
202,2045,1506
204,2041,1506
207,2037,1506
209,2033,1506
211,2029,1506
213,2026,1507
215,2022,1507
217,2018,1507
219,2014,1507
221,2011,1507
223,2007,1508
225,2003,1508
228,1999,1508
230,1995,1509
232,1992,1509
234,1988,1509
236,1984,1510
238,1980,1510
240,1977,1511
242,1973,1511
244,1969,1512
246,1965,1512
248,1962,1513
251,1958,1514
253,1954,1514
255,1950,1515
257,1947,1516
259,1943,1516
261,1939,1517
263,1935,1518
265,1932,1519
267,1928,1520
269,1924,1520
272,1921,1521
274,1917,1522
276,1913,1523
278,1910,1524
280,1906,1525
282,1902,1526
284,1899,1527
286,1895,1528
288,1891,1529
290,1888,1530
293,1884,1532
295,1881,1533
297,1877,1534
299,1873,1535
301,1870,1536
303,1866,1538
305,1863,1539
307,1859,1540
