z,x,y
6,1971,1731
13,1968,1732
19,1964,1733
26,1960,1734
32,1957,1735
39,1953,1737
45,1949,1738
52,1946,1739
58,1942,1740
65,1939,1741
71,1935,1743
78,1931,1744
84,1928,1745
90,1924,1747
97,1921,1748
103,1917,1750
110,1914,1751
116,1911,1753
123,1907,1754
129,1904,1756
136,1900,1758
142,1897,1760
149,1894,1761
155,1890,1763
162,1887,1765
168,1884,1767
175,1880,1769
181,1877,1771
188,1874,1773
194,1871,1775
201,1868,1777
207,1864,1779
213,1861,1781
220,1858,1783
226,1855,1786
233,1852,1788
239,1849,1790
246,1846,1793
252,1843,1795
259,1840,1797
265,1837,1800
272,1834,1802
278,1832,1805
285,1829,1807
291,1826,1810
298,1823,1813
304,1821,1815
311,1818,1818
317,1815,1821
324,1813,1823
330,1810,1826
337,1807,1829
343,1805,1832
349,1802,1835
356,1800,1837
362,1797,1840
369,1795,1843
375,1793,1846
382,1790,1849
388,1788,1852
395,1786,1855
401,1784,1858
408,1781,1861
414,1779,1865
421,1777,1868
427,1775,1871
434,1773,1874
440,1771,1877
447,1769,1881
453,1767,1884
460,1765,1887
466,1763,1890
473,1762,1894
479,1760,1897
486,1758,1901
492,1756,1904
499,1755,1907
505,1753,1911
511,1752,1914
518,1750,1918
524,1749,1921
531,1747,1925
537,1746,1928
544,1744,1932
550,1743,1935
557,1742,1939
563,1741,1942
570,1739,1946
576,1738,1950
583,1737,1953
589,1736,1957
596,1735,1961
602,1734,1964
609,1733,1968
615,1732,1972
622,1731,1975
628,1730,1979
635,1730,1983
641,1729,1986
648,1728,1990
654,1728,1994
661,1727,1998
667,1726,2001
674,1726,2005
680,1725,2009
687,1725,2013
693,1725,2016
699,1724,2020
706,1724,2024
712,1724,2028
719,1724,2032
725,1723,2035
732,1723,2039
738,1723,2043
745,1723,2047
751,1723,2051
758,1723,2054
764,1723,2058
771,1724,2062
777,1724,2066
784,1724,2069
790,1724,2073
797,1725,2077
803,1725,2081
810,1725,2085
816,1726,2088
823,1726,2092
829,1727,2096
836,1728,2100
842,1728,2103
849,1729,2107
855,1730,2111
862,1730,2115
868,1731,2118
875,1732,2122
881,1733,2126
888,1734,2129
894,1735,2133
901,1736,2137
907,1737,2140
914,1738,2144
920,1739,2147
927,1740,2151
933,1742,2155
940,1743,2158
946,1744,2162
953,1746,2165
959,1747,2169
965,1748,2172
972,1750,2176
978,1752,2179
985,1753,2183
991,1755,2186
998,1756,2190
1004,1758,2193
1011,1760,2196
1017,1762,2200
1024,1763,2203
1030,1765,2206
1037,1767,2210
1043,1769,2213
1050,1771,2216
1056,1773,2219
1063,1775,2223
1069,1777,2226
1076,1779,2229
1082,1781,2232
1089,1783,2235
1095,1786,2238
1102,1788,2241
1108,1790,2244
1115,1793,2247
1121,1795,2250
1128,1797,2253
1134,1800,2256
1141,1802,2259
1147,1805,2262
1154,1807,2265
1160,1810,2267
1167,1812,2270
1173,1815,2273
1180,1818,2276
1186,1820,2278
1193,1823,2281
1199,1826,2284
1206,1829,2286
1212,1832,2289
1219,1834,2291
1225,1837,2294
1232,1840,2296
1238,1843,2299
1245,1846,2301
1251,1849,2303
1258,1852,2306
1264,1855,2308
1271,1858,2310
1277,1861,2312
1284,1864,2314
1290,1867,2316
1297,1871,2319
1303,1874,2321
1310,1877,2323
1316,1880,2325
1323,1884,2327
1329,1887,2328
1336,1890,2330
1342,1893,2332
1349,1897,2334
1355,1900,2336
1362,1904,2337
1368,1907,2339
1375,1910,2341
1381,1914,2342
1388,1917,2344
1394,1921,2345
1401,1924,2347
1407,1928,2348
1414,1931,2349
1420,1935,2351
1427,1938,2352
1433,1942,2353
1440,1946,2355
1446,1949,2356
1453,1953,2357
1459,1957,2358
1466,1960,2359
1472,1964,2360
1479,1968,2361
1485,1971,2362
1492,1975,2363
1498,1979,2364
1505,1982,2364
1511,1986,2365
1518,1990,2366
1524,1993,2366
1531,1997,2367
1537,2001,2368
1544,2005,2368
1550,2009,2369
1557,2012,2369
1563,2016,2369
1570,2020,2370
1576,2024,2370
1583,2027,2370
1589,2031,2370
1596,2035,2371
1602,2039,2371
1609,2043,2371
1615,2046,2371
1622,2050,2371
1628,2054,2371
1635,2058,2371
1641,2062,2370
1648,2065,2370
1654,2069,2370
1661,2073,2370
1667,2077,2369
1674,2080,2369
1680,2084,2369
1687,2088,2368
1693,2092,2368
1700,2095,2367
1706,2099,2367
1713,2103,2366
1719,2107,2365
1726,2110,2365
1732,2114,2364
1739,2118,2363
1745,2122,2362
1752,2125,2361
1758,2129,2360
1765,2133,2359
1771,2136,2358
1778,2140,2357
1784,2143,2356
1791,2147,2355
1798,2151,2354
1804,2154,2352
1811,2158,2351
1817,2161,2350
1824,2165,2349
1830,2168,2347
1837,2172,2346
